,WELL_ID,X_TOP,Y_TOP,X_BHP,Y_BHP,h,V
0,110000204,451633,7595651,451633,7595651,11,2515210175.5
1,110001100,451521,7600570,450897,7600603,9,1832158764.0
2,110001200,452201,7600490,452910,7601194,11,2515210175.5
3,110001300,451492,7599970,450897,7599984,10,1868680390.0
4,110001400,452552,7599990,453259,7600674,14,2620897251.0
5,110001500,451380,7600269,450897,7600281,10,1868680390.0
6,110001700,452514,7600366,453224,7601066,12,2363950158.0
7,110003100,451127,7595561,450576,7595325,13,1842033225.5
8,110003200,451818,7595871,452547,7596586,10,1868680390.0
9,110003300,451291,7595212,450742,7595002,11,2515210175.5
10,110003400,452211,7595497,452998,7596111,9,1832158764.0
11,110003500,451077,7595246,450909,7595179,14,2620897251.0
12,110003600,452202,7595863,452955,7596513,8,1381401648.0
13,110005824,450024,7596318,449981,7596333,12,2363950158.0
14,110007200,457857,7601430,457298,7600275,11,2515210175.5
15,110007300,459596,7600657,458958,7600014,9,1832158764.0
16,110007400,459613,7600322,458794,7599533,10,1868680390.0
17,110007700,456951,7597964,456996,7597486,9,1832158764.0
18,110008600,461711,7603314,462993,7603956,11,2515210175.5
19,110008800,459403,7600816,458735,7600127,8,1381401648.0
20,110009100,457870,7599779,458490,7600413,8,1381401648.0
21,110009200,456320,7597830,455286,7597172,9,1832158764.0
22,110010200,461802,7603016,463385,7603804,9,1832158764.0
23,110010400,459201,7601120,458535,7600487,8,1381401648.0
24,110010700,456832,7598503,456591,7597583,13,1842033225.5
25,110010800,456085,7598045,455219,7597325,9,1832158764.0
26,110011000,453861,7596676,454572,7595837,11,2515210175.5
27,110011000,453861,7596676,454572,7595837,13,1842033225.5
28,110012000,461829,7602595,462347,7601446,11,2515210175.5
29,110012108,455558,7599578,455558,7599578,10,1868680390.0
30,110012200,458977,7601215,457958,7600306,14,2620897251.0
31,110012500,456587,7598842,456474,7597761,11,2515210175.5
32,110012600,455689,7598110,454249,7596786,8,1381401648.0
33,110012800,453572,7596561,454268,7595732,13,1842033225.5
34,110012908,445747,7595242,444209,7594473,12,2363950158.0
35,110013800,460106,7602854,459260,7601967,14,2620897251.0
36,110013804,453308,7601634,453268,7601397,11,2515210175.5
37,110014000,458979,7601735,458124,7600900,9,1832158764.0
38,110014100,458081,7600633,457252,7599858,10,1868680390.0
39,110014300,456512,7599303,456046,7598421,13,1842033225.5
40,110014400,455391,7598111,454207,7597030,12,2363950158.0
41,110014600,453071,7596554,454010,7595584,11,2515210175.5
42,110015400,462930,7606821,461808,7605926,10,1868680390.0
43,110015500,461579,7605056,462577,7605072,8,1381401648.0
44,110015700,461505,7602629,461977,7600959,12,2363950158.0
45,110016200,456213,7599435,456974,7600119,13,1842033225.5
46,110016400,454689,7597883,455370,7598582,8,1381401648.0
47,110016500,453900,7597120,455112,7598053,14,2620897251.0
48,110016600,453111,7596313,453823,7597091,10,1868680390.0
49,110016800,451670,7595084,452767,7595267,8,1381401648.0
50,110017300,462797,7607109,461920,7606367,10,1868680390.0
51,110017400,461547,7605228,462225,7605972,8,1381401648.0
52,110018100,456294,7599915,456765,7600383,12,2363950158.0
53,110018200,455442,7599068,456227,7599589,10,1868680390.0
54,110018300,454567,7598184,455569,7598991,9,1832158764.0
55,110018400,453939,7597563,454408,7598022,10,1868680390.0
56,110018500,452944,7596623,453720,7597381,10,1868680390.0
57,110018600,459202,7601495,460378,7602822,9,1832158764.0
58,110018700,450587,7594587,449799,7593783,8,1381401648.0
59,110018800,449129,7593333,448113,7592379,10,1868680390.0
60,110019200,463840,7607954,464539,7608749,8,1381401648.0
61,110019300,462328,7606688,462234,7607954,9,1832158764.0
62,110019400,463292,7606906,462296,7605837,12,2363950158.0
