WELL_ID,X_BHP,Y_BHP,h
110000204,451633,7595651,11
110001100,450897,7600603,9
110001200,452910,7601194,11
110001300,450897,7599984,10
110001400,453259,7600674,14
110001500,450897,7600281,10
110001700,453224,7601066,12
110003100,450576,7595325,13
110003200,452547,7596586,10
110003300,450742,7595002,11
110003400,452998,7596111,9
110003500,450909,7595179,14
110003600,452955,7596513,8
110005824,449981,7596333,12
110007200,457298,7600275,11
110007300,458958,7600014,9
110007400,458794,7599533,10
110007700,456996,7597486,9
110008600,462993,7603956,11
110008800,458735,7600127,8
110009100,458490,7600413,8
110009200,455286,7597172,9
110010200,463385,7603804,9
110010400,458535,7600487,8
110010700,456591,7597583,13
110010800,455219,7597325,9
110011000,454572,7595837,11
110011000,454572,7595837,13
110012000,462347,7601446,11
110012108,455558,7599578,10
110012200,457958,7600306,14
110012500,456474,7597761,11
110012600,454249,7596786,8
110012800,454268,7595732,13
110012908,444209,7594473,12
110013800,459260,7601967,14
110013804,453268,7601397,11
110014000,458124,7600900,9
110014100,457252,7599858,10
110014300,456046,7598421,13
110014400,454207,7597030,12
110014600,454010,7595584,11
110015400,461808,7605926,10
110015500,462577,7605072,8
110015700,461977,7600959,12
110016200,456974,7600119,13
110016400,455370,7598582,8
110016500,455112,7598053,14
110016600,453823,7597091,10
110016800,452767,7595267,8
110017300,461920,7606367,10
110017400,462225,7605972,8
110018100,456765,7600383,12
110018200,456227,7599589,10
110018300,455569,7598991,9
110018400,454408,7598022,10
110018500,453720,7597381,10
110018600,460378,7602822,9
110018700,449799,7593783,8
110018800,448113,7592379,10
110019200,464539,7608749,8
110019300,462234,7607954,9
110019400,462296,7605837,12
110019900,457216,7601974,11
110020200,456529,7600568,13
110020300,456166,7599914,10
110020400,455271,7599492,13
110020500,454787,7598598,13
110020600,453592,7597638,13
110021000,450689,7594188,9
110021300,464214,7608733,9
110021400,464488,7606607,11
110021500,462192,7606832,13
110021900,457085,7602426,12
110022200,457860,7603658,10
110022300,456447,7600918,9
110022400,455595,7600243,8
110022500,454842,7599396,9
110022600,454186,7598846,11
110022700,453285,7597858,9
110022800,452497,7597066,10
110022900,451278,7595345,12
110023100,448519,7592194,9
110023700,464351,7609265,12
110023800,463459,7607896,8
110023900,462166,7606283,10
110024000,462549,7608967,10
110024300,459455,7604285,10
110024400,457274,7601574,9
110024700,456074,7600954,9
110024800,455214,7600155,14
110024900,454424,7599327,13
110025000,453723,7598775,11
110025100,452992,7597911,9
110025200,452169,7597117,8
110025300,451467,7596447,8
110025500,449160,7594000,10
110026200,461724,7606583,12
110026700,457774,7603975,14
110026800,457924,7607001,12
110027600,452056,7597624,12
110027700,451329,7596810,11
110027800,450830,7596153,8
110027900,449661,7595189,12
