,WELL_ID,X_BHP,Y_BHP,h,V
0,110000204,451633,7595651,11,2515210175.5
1,110001100,450897,7600603,9,1832158764.0
2,110001200,452910,7601194,11,2515210175.5
3,110001300,450897,7599984,10,1868680390.0
4,110001400,453259,7600674,14,2620897251.0
5,110001500,450897,7600281,10,1868680390.0
6,110001700,453224,7601066,12,2363950158.0
7,110003100,450576,7595325,13,1842033225.5
8,110003200,452547,7596586,10,1868680390.0
9,110003300,450742,7595002,11,2515210175.5
10,110003400,452998,7596111,9,1832158764.0
11,110003500,450909,7595179,14,2620897251.0
12,110003600,452955,7596513,8,1381401648.0
13,110005824,449981,7596333,12,2363950158.0
14,110007200,457298,7600275,11,2515210175.5
15,110007300,458958,7600014,9,1832158764.0
16,110007400,458794,7599533,10,1868680390.0
17,110007700,456996,7597486,9,1832158764.0
18,110008600,462993,7603956,11,2515210175.5
19,110008800,458735,7600127,8,1381401648.0
20,110009100,458490,7600413,8,1381401648.0
21,110009200,455286,7597172,9,1832158764.0
22,110010200,463385,7603804,9,1832158764.0
23,110010400,458535,7600487,8,1381401648.0
24,110010700,456591,7597583,13,1842033225.5
25,110010800,455219,7597325,9,1832158764.0
26,110011000,454572,7595837,11,2515210175.5
27,110011000,454572,7595837,13,1842033225.5
28,110012000,462347,7601446,11,2515210175.5
29,110012108,455558,7599578,10,1868680390.0
30,110012200,457958,7600306,14,2620897251.0
31,110012500,456474,7597761,11,2515210175.5
32,110012600,454249,7596786,8,1381401648.0
33,110012800,454268,7595732,13,1842033225.5
34,110012908,444209,7594473,12,2363950158.0
35,110013800,459260,7601967,14,2620897251.0
36,110013804,453268,7601397,11,2515210175.5
37,110014000,458124,7600900,9,1832158764.0
38,110014100,457252,7599858,10,1868680390.0
39,110014300,456046,7598421,13,1842033225.5
40,110014400,454207,7597030,12,2363950158.0
41,110014600,454010,7595584,11,2515210175.5
42,110015400,461808,7605926,10,1868680390.0
43,110015500,462577,7605072,8,1381401648.0
44,110015700,461977,7600959,12,2363950158.0
45,110016200,456974,7600119,13,1842033225.5
46,110016400,455370,7598582,8,1381401648.0
47,110016500,455112,7598053,14,2620897251.0
48,110016600,453823,7597091,10,1868680390.0
49,110016800,452767,7595267,8,1381401648.0
50,110017300,461920,7606367,10,1868680390.0
